       0    1    2     3        4        5        6         7
53   0.6  0.9  0.3  10.0  6.42705  1.98716  2.14965  10.02777
54   0.7  0.2  0.8  10.0  6.43130  2.49987  2.05730  12.02274
55   0.7  1.0  0.8  10.0  6.43635  3.13092  2.12863  14.49783
56   0.1  0.3  0.7  10.0  6.44093  2.64132  1.99610  14.75485
57   0.4  0.4  0.4  10.0  6.44278  2.16084  2.03436  11.25718
58   0.9  0.5  0.6  10.0  6.44335  2.76318  2.40487  13.14746
59   0.9  0.8  0.1  10.0  6.44592  2.12417  2.66588  11.27046
60   0.1  0.5  0.7  10.0  6.45346  2.36817  3.02204  14.95252
61   0.6  0.5  0.4  10.0  6.45690  2.40933  2.35935  11.28306
62   0.5  0.4  0.2  10.0  6.46103  2.49818  1.01455  10.41107
63   0.8  0.3  1.0  10.0  6.46136  2.43546  3.00202  12.77046
64   0.6  0.7  0.9  10.0  6.46301  2.06876  2.07426  10.06591
65   0.3  0.2  0.1  10.0  6.47872  2.70332  3.00459  14.95933
66   0.3  0.7  1.0  10.0  6.47949  1.99139  2.55559  11.54269
67   0.5  1.0  0.7  10.0  6.48086  3.00580  2.25493  18.93540
68   0.8  0.5  1.0  10.0  6.48187  2.35259  2.99693  12.08638
69   0.5  0.8  0.2  10.0  6.48473  2.04308  3.01660  10.13864
70   0.3  0.6  0.2  10.0  6.48532  2.37402  2.00496  11.12254
71   0.3  0.8  0.2  10.0  6.48737  2.84880  1.55621  13.25217
72   0.7  0.1  1.0  10.0  6.49659  2.68526  2.71202  14.23244
73   0.1  0.4  0.8  10.0  6.49777  2.69502  2.03312  14.43695
74   0.1  0.6  0.6  10.0  6.50564  2.81074  2.01845  13.11589
75   0.5  0.9  0.5  10.0  6.51063  1.95406  3.98789  10.76990
76   0.3  0.4  0.2  10.0  6.51303  2.53195  3.01462  11.84170
77   0.9  0.9  0.4  10.0  6.51538  2.34113  3.99543  12.53827
78   0.7  0.9  0.9  10.0  6.51745  2.54516  3.01853  13.63786
79   0.2  0.3  0.6  10.0  6.52408  2.78998  2.05278  13.64582
80   0.6  0.5  0.2  10.0  6.52712  2.37876  3.00618  11.96939
81   0.5  0.5  0.6  10.0  6.53502  2.26675  3.02888  12.38827
82   0.3  1.0  0.6  10.0  6.53535  2.40631  2.06174  12.54982
83   0.4  0.8  0.6  10.0  6.53936  1.89308  3.00468  11.10880
84   1.0  0.5  0.7  10.0  6.54398  2.37618  2.02130  11.05370
85   0.4  0.6  0.8  10.0  6.54828  2.78135  3.00861  15.05531
86   0.3  0.1  0.3  10.0  6.54883  2.19016  2.01812  12.43782
87   0.3  0.6  0.1  10.0  6.55167  2.15978  1.79927  10.95907
88   0.3  0.6  0.6  10.0  6.55272  2.37078  3.00087  14.25919
89   0.3  0.2  0.7  10.0  6.55402  2.14935  3.00504  11.24691
90   0.4  0.2  0.2  10.0  6.55863  2.04169  1.85153  11.62766
91   0.1  0.4  0.6  10.0  6.55901  2.41353  3.00268  12.45052
92   0.7  0.4  0.8  10.0  6.56668  2.47534  3.06540  11.40148
93   1.0  0.8  1.0  10.0  6.56810  2.64517  3.05871  16.15879
94   0.1  0.9  0.1  10.0  6.57351  2.64816  2.14119  14.37527
95   0.1  0.8  1.0  10.0  6.57567  2.37678  2.83104  13.08850
96   0.7  0.5  1.0  10.0  6.57819  1.72875  3.32410   9.62361
97   0.3  0.5  0.6  10.0  6.57927  2.49512  2.99779  13.27723
98   0.9  0.9  0.8  10.0  6.58720  2.70630  3.14112  18.41666
99   0.6  0.4  0.7  10.0  6.58939  3.20405  1.14736  17.06000
100  0.2  0.8  1.0  10.0  6.59548  2.30096  2.90713  12.10187
101  0.3  0.4  0.6  10.0  6.59733  2.73394  1.72353  13.29847
102  0.8  0.4  0.6  10.0  6.59817  3.06841  1.49359  14.26518
103  0.8  0.1  0.5  10.0  6.59888  3.41899  1.99958  18.76478
104  0.5  0.8  0.4  10.0  6.60268  2.46450  3.33544  12.16086
105  0.3  0.1  0.6  10.0  6.60892  2.02676  3.19264  11.03142
106  0.2  0.7  0.4  10.0  6.60968  2.38860  3.04199  12.57240
107  0.7  0.9  0.1  10.0  6.61603  2.27049  2.39756  14.03321
108  1.0  0.6  1.0  10.0  6.61755  2.17400  2.67082  11.01059
109  0.8  0.9  0.2  10.0  6.61883  2.56451  3.29089  14.09993
110  0.2  0.5  0.4  10.0  6.62469  3.23011  1.28999  17.18071
111  0.9  0.4  0.2  10.0  6.62914  2.74012  2.97729  15.36231
112  0.1  0.1  0.3  10.0  6.63037  2.18545  3.30001  11.55794
113  0.6  0.2  0.6  10.0  6.63420  1.78989  3.00528  11.18091
114  0.6  0.7  0.3  10.0  6.63501  2.75776  2.62150  16.51299
115  0.3  0.3  1.0  10.0  6.63501  2.65428  2.97478  14.96068
116  0.9  1.0  0.2  10.0  6.63694  2.59662  2.41291  12.14345
117  0.3  0.1  0.2  10.0  6.64474  2.18948  3.02168  12.02777
118  0.8  0.6  1.0  10.0  6.65212  2.32722  3.06826  12.03481
119  0.3  0.8  0.8  10.0  6.65663  2.42842  2.70052  12.88243
120  0.8  0.9  0.6  10.0  6.65859  2.68431  2.40087  13.17504
121  0.8  0.7  0.5  10.0  6.65970  2.60467  2.15038  11.05549
122  0.2  0.8  0.9  10.0  6.66359  2.34957  3.22433  13.56344
123  0.9  0.7  0.4  10.0  6.66720  1.99806  3.25294  11.29706
124  0.8  0.6  0.3  10.0  6.66936  2.38213  3.03959  12.76074
125  0.3  0.1  0.5  10.0  6.67339  2.37763  3.00435  11.72077
126  0.2  0.5  0.8  10.0  6.67399  1.97603  3.64679  11.36274
127  0.6  0.5  0.3  10.0  6.67641  2.10588  3.18915  12.38656
128  0.4  1.0  0.8  10.0  6.67734  2.40477  2.02115  13.06787
129  1.0  0.6  0.6  10.0  6.67930  2.57730  2.05421  13.57909
130  0.4  0.7  0.4  10.0  6.68280  2.27740  3.00054  14.15754
131  0.1  0.1  0.8  10.0  6.68508  2.75087  1.85096  12.68178
132  0.9  0.4  0.1  10.0  6.68612  3.34255  1.66223  15.23179
133  0.3  0.9  0.3  10.0  6.68782  2.82440  2.12282  12.07052
134  0.9  0.8  0.4  10.0  6.69431  1.70552  3.00217   9.96679
135  0.2  0.6  0.4  10.0  6.69494  2.63802  2.06519  12.29231
136  0.9  0.8  0.7  10.0  6.69602  1.70957  4.04587  11.09592
137  0.8  1.0  0.5  10.0  6.69614  2.38018  3.84832  13.03868
138  0.3  0.4  0.4  10.0  6.69838  2.85571  2.03673  14.42285
139  0.6  0.3  0.8  10.0  6.70221  2.42726  3.98854  12.58229
140  1.0  0.5  0.5  10.0  6.70575  2.02194  3.24119  11.19312
141  0.4  0.1  0.5  10.0  6.70816  2.57848  3.80492  13.73417
142  0.5  0.5  0.5  10.0  6.70957  2.56704  2.06786  12.96891
143  0.2  0.2  0.9  10.0  6.71237  2.39802  2.02009  11.99308
144  0.3  0.8  0.5  10.0  6.71449  1.99833  4.00314  11.35666
145  0.6  0.4  0.8  10.0  6.71482  2.67216  2.30779  12.81867
146  0.4  0.4  0.1  10.0  6.71838  2.40480  3.01006  12.09628
147  0.1  0.8  0.9  10.0  6.72001  2.81962  2.58017  16.73312
148  0.1  0.1  0.2  10.0  6.72259  2.84516  1.20459  14.97296
149  0.1  0.8  0.3  10.0  6.72412  2.10935  2.66794  10.24051
150  0.7  0.1  0.3  10.0  6.72508  2.04783  3.01356  10.62863
151  0.5  0.2  0.1  10.0  6.72531  1.69589  4.12308  10.18120
152  0.6  0.9  0.2  10.0  6.72552  2.22055  3.03730  10.72436
153  0.2  0.7  0.6  10.0  6.72583  2.18991  2.00913  10.96842
154  0.7  1.0  0.9  10.0  6.72652  1.99105  4.09873  10.57571
155  1.0  0.9  0.6  10.0  6.72790  2.55578  2.61815  12.23647
156  0.7  0.8  0.1  10.0  6.73699  2.30817  4.03282  13.26677
157  0.1  0.7  1.0  10.0  6.74203  2.25490  3.99323  12.73317
158  1.0  0.2  1.0  10.0  6.74274  2.29248  1.99889  12.10306
159  1.0  0.4  1.0  10.0  6.74799  2.46598  3.00592  12.36984
160  0.7  0.3  0.1  10.0  6.75170  3.36912  1.15025  14.32958
161  0.7  0.6  0.8  10.0  6.75419  2.13742  2.05887  11.18400
162  0.4  0.1  0.8  10.0  6.75483  2.73457  2.23764  13.44570
163  0.3  1.0  0.1  10.0  6.75555  3.05350  2.03191  12.55694
164  0.1  0.1  0.6  10.0  6.75831  2.42210  2.01425  12.13102
165  0.7  0.6  0.5  10.0  6.76009  2.81013  2.00164  14.00391
166  1.0  0.4  0.5  10.0  6.76132  2.58430  2.11607  12.85601
167  0.6  0.6  0.3  10.0  6.76444  2.47664  3.15724  12.42057
